id,value
id_0,25.3261074512
id_1,63.5152514559
id_2,18.8968880548
id_3,29.1995150221
id_4,9.20768892039
id_5,33.5191272107
id_6,40.9778734126
id_7,18.1857398138
id_8,52.6845178974
id_9,32.3061451183
id_10,38.4421882378
id_11,58.9982587932
id_12,35.4246524729
id_13,41.6803229591
id_14,26.4269106753
id_15,12.9808850707
id_16,52.0128785244
id_17,23.9465334758
id_18,18.3037749787
id_19,19.3519585856
id_20,15.8962755448
id_21,31.4363354511
id_22,39.2518224415
id_23,11.1782146188
id_24,61.2212544019
id_25,45.7680469389
id_26,29.0055045258
id_27,6.10910585032
id_28,28.6222059041
id_29,37.3129825957
id_30,18.3180719893
id_31,11.2455709447
id_32,16.4546611457
id_33,7.67571974858
id_34,14.9851890187
id_35,41.8514966518
id_36,21.8007422953
id_37,27.6125062236
id_38,3.71825287239
id_39,59.5362269082
id_40,48.1353193749
id_41,20.289611232
id_42,52.5728446582
id_43,19.1959207383
id_44,45.3094405536
id_45,48.547395446
id_46,57.3371022851
id_47,41.6252675954
id_48,55.7237016719
id_49,39.7938737688
id_50,30.7694388033
id_51,23.6535733198
id_52,38.8552630923
id_53,23.2210060226
id_54,37.2748142394
id_55,38.6442556185
id_56,25.5787172404
id_57,22.0859004037
id_58,35.4717402206
id_59,31.7357768339
id_60,13.2798373298
id_61,21.683639519
id_62,32.3690857078
id_63,53.7107399992
id_64,51.0927668553
id_65,26.0192147843
id_66,38.1653686769
id_67,53.2650944879
id_68,29.0239405455
id_69,40.3041468213
id_70,64.532527531
id_71,55.5611297989
id_72,41.8232372755
id_73,14.121209769
id_74,13.8551610998
id_75,36.1994009583
id_76,62.8915261753
id_77,2.61852947781
id_78,40.7386795603
id_79,42.3654262622
id_80,7.79077005313
id_81,22.7621870897
id_82,5.38538011471
id_83,30.4250166836
id_84,8.69269523247
id_85,5.58269377243
id_86,16.8362085739
id_87,10.3544955495
id_88,20.4666184137
id_89,25.5726349157
id_90,35.2953911993
id_91,11.6901561777
id_92,12.5705656232
id_93,9.25341196337
id_94,37.3244109203
id_95,15.1305039487
id_96,16.4609523016
id_97,9.22489658569
id_98,12.0102818559
id_99,4.87578581218
id_100,9.69917162563
id_101,17.9788977386
id_102,12.3951146913
id_103,7.85571089356
id_104,12.9558868947
id_105,36.2778375881
id_106,26.5981972276
id_107,7.42444587262
id_108,16.8893774048
id_109,14.9227947641
id_110,12.2458671058
id_111,17.1856066629
id_112,16.1055038545
id_113,26.647777824
id_114,18.9661947617
id_115,16.5167902308
id_116,6.09466891831
id_117,46.4036617619
id_118,26.9969149731
id_119,0.518629686911
id_120,-0.99085051348
id_121,9.34441885602
id_122,12.7767629502
id_123,13.0078288967
id_124,7.77606655239
id_125,24.9088272353
id_126,20.7013761849
id_127,10.1290307018
id_128,20.7504142205
id_129,14.0972475249
id_130,-0.364028859357
id_131,33.1119422068
id_132,14.2012725344
id_133,20.4247808186
id_134,26.1944725044
id_135,23.8734841896
id_136,9.96675337606
id_137,21.0044479998
id_138,78.5727906292
id_139,60.0323532176
id_140,27.1338999075
id_141,18.2119990703
id_142,24.6447129303
id_143,7.21941588373
id_144,11.7354688149
id_145,10.0693603144
id_146,19.6250385793
id_147,8.19846631119
id_148,12.8622257368
id_149,15.4650550402
id_150,46.3295125368
id_151,21.8892002343
id_152,22.0431201536
id_153,14.9287999093
id_154,13.9628723773
id_155,25.1595769562
id_156,25.5809384393
id_157,36.1572187163
id_158,4.58695336008
id_159,23.3488235213
id_160,42.2747478934
id_161,19.6280139587
id_162,64.2868548381
id_163,17.1250689642
id_164,33.7407160733
id_165,23.2685427786
id_166,24.4411697233
id_167,0.148939246447
id_168,66.6530287058
id_169,14.9593954845
id_170,15.9113923114
id_171,68.535048809
id_172,20.3638140113
id_173,1.70413392692
id_174,24.4605400416
id_175,-0.500801749448
id_176,7.34532932704
id_177,18.4703773468
id_178,19.764236985
id_179,25.0504893425
id_180,43.3390085234
id_181,31.4749289077
id_182,27.5918941441
id_183,12.5679613293
id_184,6.38560294798
id_185,41.9057985539
id_186,35.9261206082
id_187,34.9845742666
id_188,17.4565756744
id_189,23.3222055452
id_190,14.6958741474
id_191,16.254992687
id_192,31.2686103719
id_193,62.0921837268
id_194,29.0503811324
id_195,10.4485328982
id_196,63.6085605558
id_197,15.7121180461
id_198,20.3223520639
id_199,21.0075820417
id_200,124.134528009
id_201,23.4958094532
id_202,58.6877487432
id_203,6.50979810886
id_204,60.3486431245
id_205,37.2665043721
id_206,15.1909527534
id_207,14.2562725399
id_208,63.2622682863
id_209,14.5126770211
id_210,36.1017087306
id_211,69.0542776386
id_212,19.0648263878
id_213,113.313799652
id_214,41.4299947271
id_215,78.6046589632
id_216,92.514154715
id_217,72.350417472
id_218,30.7836878876
id_219,18.6466827844
id_220,29.6344478306
id_221,57.8066361626
id_222,27.9718323271
id_223,38.3033674298
id_224,43.8290873238
id_225,10.4872057275
id_226,3.3688529015
id_227,80.4968017917
id_228,31.2669172116
id_229,0.930526485633
id_230,41.1526845021
id_231,16.4199572558
id_232,21.9951003839
id_233,8.19195035371
id_234,14.306297702
id_235,25.4420683081
id_236,13.7517811079
id_237,2.56850080354
id_238,22.0113734149
id_239,11.1570171333
